table__cell,table__cell 2,table__cell 7,icon-elbow,icon-elbow href
València,2.287 €/m2,"- 4,2 %",,
2.273 €/m2,2.330 €/m2 jul 2023,"- 2,5 %",Algirós,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/algiros/
1.811 €/m2,2.224 €/m2 abr 2011,"- 0,9 %",Benicalap,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/benicalap/
2.736 €/m2,2.755 €/m2 nov 2023,"- 0,7 %",Campanar,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/campanar/
3.255 €/m2,3.255 €/m2 dic 2023,"+ 7,2 %",Ciutat Vella,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/ciutat-vella/
2.993 €/m2,3.077 €/m2 jul 2010,"+ 6,4 %",El Pla del Real,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/el-pla-del-real/
2.670 €/m2,2.670 €/m2 dic 2023,"+ 13,5 %",Extramurs,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/extramurs/
1.781 €/m2,1.786 €/m2 nov 2023,"- 0,3 %",Jesús,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/jesus/
3.513 €/m2,3.513 €/m2 dic 2023,"+ 10,6 %",L'Eixample,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/leixample/
1.650 €/m2,1.961 €/m2 feb 2010,"+ 11,8 %",L'Olivereta,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/lolivereta/
1.852 €/m2,1.852 €/m2 dic 2023,"+ 15,6 %",Patraix,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/patraix/
2.168 €/m2,2.168 €/m2 dic 2023,"+ 14,3 %",Poblats Marítims,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/poblats-maritims/
2.077 €/m2,2.233 €/m2 oct 2023,"- 6,8 %",Quatre Carreres,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/quatre-carreres/
1.551 €/m2,1.684 €/m2 dic 2009,"- 0,1 %",Rascanya,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/comunitat-valenciana/valencia-valencia/valencia/rascanya/